steamid,appid,playtime_minutes
76561198064675174,287630,1110
76561198064675174,287700,5883
76561198064675174,288160,169
76561198064675174,289070,19996
76561198064675174,289650,3257
76561198064675174,290340,671
76561198064675174,291650,3035
76561198064675174,292030,6374
76561198064675174,294100,2737
76561198064675174,294860,3735
76561198064675174,296970,1172
76561198064675174,298630,35
76561198064675174,302510,460
76561198064675174,304430,243
76561198064675174,305620,15598
76561198064675174,310560,2216
76561198064675174,311560,2640
76561198064675174,319630,684
76561198064675174,322330,8100
76561198064675174,322500,85
76561198064675174,322850,470
76561198064675174,323190,1896
76561198064675174,327890,53
76561198064675174,330830,611
76561198064675174,330840,686
76561198064675174,338390,1858
76561198064675174,343860,209
76561198064675174,345260,719
76561198064675174,346010,398
76561198064675174,362960,1573
76561198064675174,368370,180
76561198064675174,368500,2619
76561198064675174,373420,4489
76561198064675174,377160,4619
76561198064675174,379430,6648
76561198064675174,381120,0
76561198064675174,383870,302
76561198064675174,386940,458
76561198064675174,388880,279
76561198064675174,394360,788
76561198064675174,400430,327
76561198064675174,403640,1104
76561198064675174,406290,569
76561198064675174,408760,496
76561198064675174,409710,0
76561198064675174,409720,620
76561198064675174,413150,0
76561198064675174,414340,536
76561198064675174,415200,35418
76561198064675174,424840,255
76561198064675174,425580,197
76561198064675174,427410,50
76561198064675174,429570,228
76561198064675174,435150,6092
76561198064675174,447040,2206
76561198064675174,448510,7
76561198064675174,456750,399
76561198064675174,457140,1676
76561198064675174,464920,236
76561198064675174,466630,188
76561198064675174,474960,779
76561198064675174,476240,2
76561198064675174,489830,0
76561198064675174,491950,363
76561198064675174,501300,142
76561198064675174,501320,347
76561198064675174,507490,0
76561198064675174,508440,698
76561198064675174,522470,574
76561198064675174,529340,0
76561198064675174,532210,1060
76561198064675174,536220,426
76561198064675174,554620,510
76561198064675174,557600,82
76561198064675174,558420,162
76561198064675174,559100,882
76561198064675174,560130,3109
76561198064675174,578650,1490
76561198064675174,584980,104
76561198064675174,603850,125
76561198064675174,606880,2377
76561198064675174,632470,7026
76561198064675174,633060,297
76561198064675174,638230,118
76561198064675174,648800,689
76561198064675174,654880,614
76561198064675174,676820,126
76561198064675174,680380,334
76561198064675174,690040,0
76561198064675174,728880,253
76561198064675174,737800,10470
76561198064675174,747350,50
76561198064675174,752590,751
76561198064675174,760060,1533
76561198064675174,765810,1183
76561198064675174,812140,6419
76561198064675174,845070,88
76561198064675174,859580,174
76561198064675174,870780,1789
76561198064675174,874260,0
76561198064675174,882100,0
76561198064675174,892970,10730
76561198064675174,898650,103
76561198064675174,914020,579
76561198064675174,936140,5353
76561198064675174,960910,586
76561198064675174,960990,591
76561198064675174,1005300,247
76561198064675174,1030830,0
76561198064675174,1107790,79
76561198064675174,1124300,1121
76561198064675174,1158310,5338
76561198064675174,1172620,69
76561198064675174,1180660,590
76561198064675174,1222690,1
76561198064675174,1222700,0
76561198064675174,1238040,2714
76561198064675174,1284190,2464
76561198064675174,1353270,87
76561198064675174,1490840,78
76561198064675174,1628130,133
76561198064675174,2149010,0
76561198064675174,2362420,0
76561198109425210,550,21
76561198109425210,730,833
76561198109425210,3700,0
76561198109425210,32470,46
76561198109425210,39140,1069
76561198109425210,42910,0
76561198109425210,49520,2024
76561198109425210,50300,129
76561198109425210,63380,0
76561198109425210,65790,0
76561198109425210,107410,1712
76561198109425210,200710,0
76561198109425210,201810,203
76561198109425210,212680,1053
76561198109425210,213670,364
76561198109425210,214950,5819
76561198109425210,220200,28250
76561198109425210,225540,2240
76561198109425210,231430,127
76561198109425210,233450,2019
76561198109425210,238090,288
76561198109425210,238370,21
76561198109425210,239140,632
76561198109425210,244160,165
76561198109425210,244850,99
76561198109425210,250900,2436
76561198109425210,251060,4372
76561198109425210,255710,652
76561198109425210,261640,0
76561198109425210,262060,11210
76561198109425210,268130,192
76561198109425210,268500,7283
76561198109425210,271590,2044
76561198109425210,287450,691
76561198109425210,287700,7530
76561198109425210,292030,11755
76561198109425210,298900,0
76561198109425210,311210,189
76561198109425210,311340,0
76561198109425210,312660,948
76561198109425210,322330,131
76561198109425210,323190,475
76561198109425210,346010,608
76561198109425210,350080,0
76561198109425210,356190,606
76561198109425210,359550,3000
76561198109425210,361280,64
76561198109425210,364360,0
76561198109425210,367450,959
76561198109425210,374320,9552
76561198109425210,377160,1631
76561198109425210,386940,81
76561198109425210,393380,26130
76561198109425210,397080,0
76561198109425210,397540,976
76561198109425210,410340,335
76561198109425210,427520,10140
76561198109425210,445220,892
76561198109425210,445980,1965
76561198109425210,457140,3335
76561198109425210,488790,0
76561198109425210,489630,170
76561198109425210,489830,637
76561198109425210,492720,932
76561198109425210,502500,1101
76561198109425210,505460,1986
76561198109425210,537800,0
76561198109425210,548430,2220
76561198109425210,552500,1896
76561198109425210,553540,2460
76561198109425210,553850,1092
76561198109425210,569480,324
76561198109425210,573100,232
76561198109425210,578650,1450
76561198109425210,590380,4755
76561198109425210,594570,0
76561198109425210,612880,0
76561198109425210,619150,86
76561198109425210,623990,0
76561198109425210,644930,3835
76561198109425210,646570,11268
76561198109425210,669330,963
76561198109425210,671860,291
76561198109425210,688420,197
76561198109425210,728740,0
76561198109425210,774941,0
76561198109425210,779340,0
