user_steamid,friend_steamid
76561198362520139,76561197989001141
76561198362520139,76561197992860954
76561198362520139,76561197997267019
76561198362520139,76561197999995036
76561198362520139,76561198001216273
76561198362520139,76561198011971157
76561198362520139,76561198015316692
76561198362520139,76561198017717205
76561198362520139,76561198032598380
76561198362520139,76561198033174653
76561198362520139,76561198034318022
76561198362520139,76561198042129970
76561198362520139,76561198044620877
76561198362520139,76561198049510619
76561198362520139,76561198056306944
76561198362520139,76561198059597003
76561198362520139,76561198073253915
76561198362520139,76561198085646052
76561198362520139,76561198088072309
76561198362520139,76561198091790225
76561198362520139,76561198092010751
76561198362520139,76561198092261228
76561198362520139,76561198099644847
76561198362520139,76561198109425210
76561198362520139,76561198118776962
76561198362520139,76561198120007838
76561198362520139,76561198127033232
76561198362520139,76561198138012298
76561198362520139,76561198144490609
76561198362520139,76561198153375012
76561198362520139,76561198154784844
76561198362520139,76561198164905807
76561198362520139,76561198179324919
76561198362520139,76561198188888391
76561198362520139,76561198204124128
76561198362520139,76561198238990192
76561198362520139,76561198240272580
76561198362520139,76561198240834418
76561198362520139,76561198244355316
76561198362520139,76561198245813340
76561198362520139,76561198259475420
76561198362520139,76561198264163430
76561198362520139,76561198298761612
76561198362520139,76561198305666431
76561198362520139,76561198333848992
76561198362520139,76561198334732181
76561198362520139,76561198363163814
76561198362520139,76561198367439206
76561198362520139,76561198388689417
76561198362520139,76561198404541991
76561198362520139,76561198437028894
76561198362520139,76561198828518211
76561198362520139,76561198834600618
76561198362520139,76561198835294177
76561198362520139,76561198846007027
76561198362520139,76561198846073083
76561198362520139,76561198859934865
76561198362520139,76561198882855823
76561198362520139,76561198891430935
76561198362520139,76561198895468865
76561198362520139,76561198933042484
76561198362520139,76561198935394552
76561198362520139,76561198965119425
76561198362520139,76561198968318966
76561198362520139,76561198973347389
76561198362520139,76561198978519283
76561198362520139,76561198980228420
76561198362520139,76561198993152064
76561198362520139,76561199002362242
76561198362520139,76561199002772342
76561198362520139,76561199013478205
76561198362520139,76561199021743688
76561198362520139,76561199023944990
76561198362520139,76561199026751950
76561198362520139,76561199041261554
76561198362520139,76561199059426317
76561198362520139,76561199070728444
76561198362520139,76561199081424127
76561198362520139,76561199081701409
76561198362520139,76561199086284917
76561198362520139,76561199096079650
76561198362520139,76561199100603586
76561198362520139,76561199121771564
76561198362520139,76561199129131782
76561198362520139,76561199142223629
76561198362520139,76561199161159686
76561198362520139,76561199167594208
76561198362520139,76561199174515164
76561198362520139,76561199185184808
76561198362520139,76561199198172364
76561198362520139,76561199198789787
76561198362520139,76561199206144026
76561198362520139,76561199222072890
76561198362520139,76561199281054972
76561198362520139,76561199496955533
76561198362520139,76561199540651504
76561198362520139,76561199566147385
76561198362520139,76561199756098945
76561198362520139,76561199804883801
76561198362520139,76561199849035480
76561198125113675,76561198004568530
76561198125113675,76561198064675174
76561198125113675,76561198775197779
76561198071217691,76561197960373745
76561198071217691,76561197961355036
76561198071217691,76561197970814177
76561198071217691,76561197976167117
76561198071217691,76561197977437019
76561198071217691,76561197977545782
76561198071217691,76561197992069342
76561198071217691,76561197993472011
76561198071217691,76561197995150708
76561198071217691,76561197995443531
76561198071217691,76561197996188606
76561198071217691,76561197996983574
76561198071217691,76561198001769970
76561198071217691,76561198007233812
76561198071217691,76561198010264398
76561198071217691,76561198010264609
76561198071217691,76561198010917880
76561198071217691,76561198014696849
76561198071217691,76561198015601718
76561198071217691,76561198017290927
76561198071217691,76561198017457185
76561198071217691,76561198017872702
76561198071217691,76561198020040736
76561198071217691,76561198023417176
76561198071217691,76561198025686002
76561198071217691,76561198026349716
76561198071217691,76561198032399181
76561198071217691,76561198034694750
76561198071217691,76561198037026902
76561198071217691,76561198041093787
76561198071217691,76561198044062174
76561198071217691,76561198048594560
76561198071217691,76561198050181053
76561198071217691,76561198050841345
76561198071217691,76561198052140425
76561198071217691,76561198054562023
76561198071217691,76561198056212825
76561198071217691,76561198063151746
76561198071217691,76561198063803016
76561198071217691,76561198067585039
76561198071217691,76561198071212316
76561198071217691,76561198072999932
76561198071217691,76561198076386176
76561198071217691,76561198076579310
76561198071217691,76561198079173123
76561198071217691,76561198083124199
76561198071217691,76561198086748776
76561198071217691,76561198103136965
76561198071217691,76561198104357228
76561198071217691,76561198108360677
76561198071217691,76561198109425210
76561198071217691,76561198122943652
76561198071217691,76561198129740895
