feature,xgb_baseline_mean_abs_shap,xgb_baseline_importance_share,xgb_baseline_top_interaction_feature,xgb_one_embedding_mean_abs_shap,xgb_one_embedding_importance_share,xgb_one_embedding_top_interaction_feature,combined_mean_abs_shap
cat__country_GL,0.0,0.0,,0.0,0.0,,0.0
cat__country_GB,0.0,0.0,,0.0,0.0,,0.0
cat__country_GA,0.0,0.0,,0.0,0.0,,0.0
cat__country_FR,0.0,0.0,,0.0,0.0,,0.0
cat__country_IL,0.0,0.0,,0.0,0.0,,0.0
cat__developer_Telltale Games,0.0,0.0,,0.0,0.0,,0.0
cat__developer_Telltale,0.0,0.0,,0.0,0.0,,0.0
cat__developer_Techland,0.0,0.0,,0.0,0.0,,0.0
cat__developer_Team17 Digital Ltd,0.0,0.0,,0.0,0.0,,0.0
cat__developer_Supermassive Games,0.0,0.0,,0.0,0.0,,0.0
cat__developer_Studio Wildcard;Instinct Games;Efecto Studios;Virtual Basement LLC,0.0,0.0,,0.0,0.0,,0.0
cat__developer_Square Enix,0.0,0.0,,0.0,0.0,,0.0
"cat__developer_Spike Chunsoft Co., Ltd.",0.0,0.0,,0.0,0.0,,0.0
cat__developer_Somer Games,0.0,0.0,,0.0,0.0,,0.0
cat__developer_Sokpop Collective,0.0,0.0,,0.0,0.0,,0.0
cat__developer_SEGA,0.0,0.0,,0.0,0.0,,0.0
cat__developer_SCS Software,0.0,0.0,,0.0,0.0,,0.0
"cat__developer_CAPCOM Co., Ltd.",0.0,0.0,,0.0,0.0,,0.0
cat__developer_Ryu Ga Gotoku Studio,0.0,0.0,,0.0,0.0,,0.0
cat__developer_Rocksteady Studios,0.0,0.0,,0.0,0.0,,0.0
cat__developer_Rockstar North,0.0,0.0,,0.0,0.0,,0.0
cat__developer_Rockstar Games,0.0,0.0,,0.0,0.0,,0.0
cat__developer_Ripknot Systems,0.0,0.0,,0.0,0.0,,0.0
cat__developer_Relic Entertainment,0.0,0.0,,0.0,0.0,,0.0
cat__developer_Red Barrels,0.0,0.0,,0.0,0.0,,0.0
cat__developer_Rebellion,0.0,0.0,,0.0,0.0,,0.0
cat__developer_Quiet River,0.0,0.0,,0.0,0.0,,0.0
"cat__developer_PopCap Games, Inc.",0.0,0.0,,0.0,0.0,,0.0
cat__developer_Paradox Development Studio,0.0,0.0,,0.0,0.0,,0.0
cat__developer_PUBG Corporation,0.0,0.0,,0.0,0.0,,0.0
cat__developer_SC Jogos,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Action;Adventure;Indie;Simulation,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Action;Adventure;Indie;RPG;Strategy,0.0,0.0,,0.0,0.0,,0.0
cat__country_AE,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Action;Adventure;Indie;RPG;Simulation,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Action;Adventure;Indie;RPG;Early Access,0.0,0.0,,0.0,0.0,,0.0
cat__genres_Action;Adventure;Indie;RPG,0.0,0.0,,0.0,0.0,,0.0
